sale_id,date,year,month,quarter,drug_name,drug_class,region,channel,rep_name,manager,units_sold,unit_price,revenue,target_revenue
TXN-00046,2024-08-14,2024,8,Q3,Insulin Glargine,Diabetes,East,Hospital,Pooja Bose,Subrata Chatterjee,95.0,1128.26,107184.7,125746.19
TXN-00047,2024-05-19,2024,5,Q2,Metformin,Diabetes,South,Hospital,Karthik Raj,Lakshmi Iyer,90.0,326.73,29405.7,28520.87
TXN-00048,2021-02-21,2021,2,Q1,Atorvastatin,Cardiovascular,North,Hospital,Anjali Singh,Amit Srivastava,176.0,244.34,43003.84,47881.13
TXN-00049,2023-12-14,2023,12,Q4,Omeprazole,Gastrointestinal,Central,Hospital,Deepak Gupta,Anita Pandey,218.0,179.15,39054.7,36583.24
TXN-00050,2022-09-04,2022,9,Q3,Metformin,Diabetes,Central,Pharmacy,Nisha Yadav,Anita Pandey,62.0,313.18,19417.16,20911.79
TXN-00051,2023-07-20,2023,7,Q3,Metformin,Diabetes,West,Hospital,Kavita Desai,Rajesh Mehta,76.0,343.78,26127.28,31715.23
TXN-00052,2020-09-21,2020,9,Q3,Amoxicillin,Anti-infective,West,Pharmacy,Sneha Patil,Rajesh Mehta,89.0,184.09,16384.01,16056.2
TXN-00053,2022-12-28,2022,12,Q4,Atorvastatin,Cardiovascular,West,Pharmacy,Nikhil Joshi,Rajesh Mehta,254.0,296.14,75219.56,77128.75
TXN-00054,2021-09-25,2021,9,Q3,Aspirin,Cardiovascular,East,Pharmacy,Debashish Roy,Subrata Chatterjee,123.0,98.43,12106.89,13094.68
TXN-00055,2022-08-11,2022,8,Q3,Metformin,Diabetes,Central,Hospital,Asha Tiwari,Anita Pandey,111.0,305.94,33959.34,33268.83
TXN-00056,2023-04-03,2023,4,Q2,Sertraline,CNS,East,Hospital,Pooja Bose,Subrata Chatterjee,91.0,543.84,49489.44,60985.53
TXN-00057,2020-08-04,2020,8,Q3,Amlodipine,Cardiovascular,West,Pharmacy,Sneha Patil,Rajesh Mehta,30.0,124.87,3746.1,3826.58
TXN-00058,2023-02-23,2023,2,Q1,Atorvastatin,Cardiovascular,Central,Pharmacy,Deepak Gupta,Anita Pandey,188.0,261.15,49096.2,48635.36
TXN-00059,2022-06-13,2022,6,Q2,Omeprazole,Gastrointestinal,North,Pharmacy,Anjali Singh,Amit Srivastava,127.0,168.17,21357.59,21433.71
TXN-00060,2020-05-13,2020,5,Q2,Ibuprofen,Pain & Inflammation,West,Pharmacy,Nikhil Joshi,Rajesh Mehta,143.0,122.38,17500.34,16699.01
TXN-00061,2020-07-21,2020,7,Q3,Aspirin,Cardiovascular,West,Pharmacy,Vikram Shah,Rajesh Mehta,78.0,84.85,6618.3,6820.46
TXN-00062,2021-04-15,2021,4,Q2,Omeprazole,Gastrointestinal,East,Pharmacy,Pooja Bose,Subrata Chatterjee,50.0,125.51,6275.5,6762.75
TXN-00063,2021-01-07,2021,1,Q1,Ciprofloxacin,Anti-infective,South,Pharmacy,Divya Menon,Lakshmi Iyer,43.0,241.26,10374.18,11472.09
TXN-00064,2021-05-16,2021,5,Q2,Metformin,Diabetes,North,Pharmacy,Ravi Kumar,Amit Srivastava,167.0,240.64,40186.88,35936.88
TXN-00065,2024-04-19,2024,4,Q2,Sertraline,CNS,South,Pharmacy,Karthik Raj,Lakshmi Iyer,75.0,559.82,41986.5,40877.92
TXN-00066,2023-02-16,2023,2,Q1,Ciprofloxacin,Anti-infective,North,Pharmacy,Priya Sharma,Amit Srivastava,325.0,205.57,66810.25,71207.3
TXN-00067,2020-03-03,2020,3,Q1,Omeprazole,Gastrointestinal,East,Pharmacy,Debashish Roy,Subrata Chatterjee,107.0,157.49,16851.43,18863.69
TXN-00068,2022-11-12,2022,11,Q4,Aspirin,Cardiovascular,Central,Pharmacy,Deepak Gupta,Anita Pandey,156.0,62.05,9679.8,8761.83
TXN-00069,2020-01-01,2020,1,Q1,Atorvastatin,Cardiovascular,Central,Hospital,Deepak Gupta,Anita Pandey,153.0,190.3,29115.9,25545.48
TXN-00070,2020-09-06,2020,9,Q3,Insulin Glargine,Diabetes,East,Hospital,Debashish Roy,Subrata Chatterjee,124.0,1187.19,147211.56,144392.84
TXN-00071,2022-02-01,2022,2,Q1,Omeprazole,Gastrointestinal,North,Pharmacy,Rahul Verma,Amit Srivastava,145.0,162.45,23555.25,28835.86
TXN-00072,2024-09-23,2024,9,Q3,Insulin Glargine,Diabetes,South,Pharmacy,Meena Pillai,Lakshmi Iyer,100.0,836.4,83640.0,91003.22
TXN-00073,2020-09-05,2020,9,Q3,Sertraline,CNS,North,Pharmacy,Rahul Verma,Amit Srivastava,94.0,538.94,50660.36,57880.47
TXN-00074,2023-11-25,2023,11,Q4,Ibuprofen,Pain & Inflammation,North,Hospital,Rahul Verma,Amit Srivastava,43.0,103.46,4448.78,4991.19
TXN-00075,2020-05-05,2020,5,Q2,Atorvastatin,Cardiovascular,North,Hospital,Anjali Singh,Amit Srivastava,67.0,284.52,19062.84,19932.59
TXN-00076,2020-04-02,2020,4,Q2,Insulin Glargine,Diabetes,Central,Hospital,Asha Tiwari,Anita Pandey,112.0,938.03,105059.36,107622.81
TXN-00077,2021-06-17,2021,6,Q2,Aspirin,Cardiovascular,North,Pharmacy,Ravi Kumar,Amit Srivastava,130.0,84.52,10987.6,9668.82
TXN-00078,2020-09-05,2020,9,Q3,Omeprazole,Gastrointestinal,East,Hospital,Debashish Roy,Subrata Chatterjee,54.0,168.15,9080.1,8900.3
TXN-00079,2023-06-30,2023,6,Q2,Amlodipine,Cardiovascular,South,Hospital,Divya Menon,Lakshmi Iyer,73.0,125.24,9142.52,10872.8
TXN-00080,2024-07-04,2024,7,Q3,Amoxicillin,Anti-infective,East,Hospital,Debashish Roy,Subrata Chatterjee,114.0,166.04,18928.56,19547.97
TXN-00081,2023-04-30,2023,4,Q2,Omeprazole,Gastrointestinal,Central,Hospital,Nisha Yadav,Anita Pandey,57.0,100.78,5744.46,7018.91
TXN-00082,2023-05-20,2023,5,Q2,Omeprazole,Gastrointestinal,West,Pharmacy,Sneha Patil,Rajesh Mehta,123.0,97.82,12031.86,12708.46
TXN-00083,2020-02-03,2020,2,Q1,Ciprofloxacin,Anti-infective,North,Hospital,Rahul Verma,Amit Srivastava,76.0,277.03,21054.28,23654.94
TXN-00084,2022-05-26,2022,5,Q2,Sertraline,CNS,Central,Hospital,Deepak Gupta,Anita Pandey,81.0,345.86,28014.66,25532.16
TXN-00085,2021-05-30,2021,5,Q2,Ciprofloxacin,Anti-infective,North,Hospital,Anjali Singh,Amit Srivastava,109.0,345.76,37687.84,39513.66
TXN-00086,2022-08-04,2022,8,Q3,Omeprazole,Gastrointestinal,South,Pharmacy,Karthik Raj,Lakshmi Iyer,97.0,165.47,16050.59,16057.86
TXN-00087,2023-12-04,2023,12,Q4,Sertraline,CNS,West,Hospital,Vikram Shah,Rajesh Mehta,206.0,530.33,109247.98,107135.64
TXN-00088,2020-05-18,2020,5,Q2,Amlodipine,Cardiovascular,Central,Pharmacy,Rohit Mishra,Anita Pandey,117.0,145.43,17015.31,18005.01
TXN-00089,2024-07-31,2024,7,Q3,Insulin Glargine,Diabetes,Central,Pharmacy,Nisha Yadav,Anita Pandey,130.0,1038.26,134973.8,154513.96
TXN-00090,2023-12-13,2023,12,Q4,Metformin,Diabetes,Central,Pharmacy,Asha Tiwari,Anita Pandey,73.0,339.94,24815.62,28103.1
TXN-00091,2021-08-10,2021,8,Q3,Atorvastatin,Cardiovascular,East,Pharmacy,Arnab Das,Subrata Chatterjee,177.0,269.29,47664.33,43119.41
TXN-00092,2022-03-08,2022,3,Q1,Atorvastatin,Cardiovascular,Central,Pharmacy,Deepak Gupta,Anita Pandey,178.0,228.46,40665.88,37759.99
TXN-00093,2024-11-07,2024,11,Q4,Ibuprofen,Pain & Inflammation,North,Pharmacy,Priya Sharma,Amit Srivastava,69.0,81.1,5595.9,6108.48
TXN-00094,2020-05-22,2020,5,Q2,Metformin,Diabetes,North,Pharmacy,Ravi Kumar,Amit Srivastava,119.0,281.53,33502.07,33896.85
TXN-00095,2022-11-28,2022,11,Q4,Atorvastatin,Cardiovascular,East,Pharmacy,Debashish Roy,Subrata Chatterjee,115.0,224.31,25795.65,28131.84
TXN-00096,2022-07-11,2022,7,Q3,Amlodipine,Cardiovascular,Central,Pharmacy,Asha Tiwari,Anita Pandey,103.0,177.86,18319.58,18137.22
TXN-00097,2020-07-14,2020,7,Q3,Sertraline,CNS,South,Pharmacy,Meena Pillai,Lakshmi Iyer,70.0,413.65,28955.5,30194.1
TXN-00098,2022-08-05,2022,8,Q3,Ciprofloxacin,Anti-infective,Central,Hospital,Nisha Yadav,Anita Pandey,58.0,302.78,17561.24,20906.42
TXN-00099,2020-04-04,2020,4,Q2,Atorvastatin,Cardiovascular,East,Pharmacy,Pooja Bose,Subrata Chatterjee,43.0,286.27,12309.61,14344.93
TXN-00100,2021-12-12,2021,12,Q4,Amoxicillin,Anti-infective,South,Pharmacy,Meena Pillai,Lakshmi Iyer,78.0,138.09,10771.02,10587.2
TXN-00101,2022-09-19,2022,9,Q3,Ciprofloxacin,Anti-infective,West,Pharmacy,Vikram Shah,Rajesh Mehta,201.0,300.23,60346.23,59840.92
TXN-00102,2021-08-26,2021,8,Q3,Ibuprofen,Pain & Inflammation,North,Hospital,Priya Sharma,Amit Srivastava,121.0,118.83,14378.43,16089.4
TXN-00103,2024-11-27,2024,11,Q4,Aspirin,Cardiovascular,Central,Pharmacy,Asha Tiwari,Anita Pandey,156.0,69.95,10912.2,10641.58
TXN-00104,2023-03-06,2023,3,Q1,Ibuprofen,Pain & Inflammation,West,Hospital,Nikhil Joshi,Rajesh Mehta,264.0,87.87,23197.68,22169.65
TXN-00105,2020-03-15,2020,3,Q1,Sertraline,CNS,South,Hospital,Karthik Raj,Lakshmi Iyer,65.0,435.73,28322.45,28029.71
TXN-00106,2021-10-25,2021,10,Q4,Omeprazole,Gastrointestinal,West,Hospital,Sneha Patil,Rajesh Mehta,169.0,160.24,27080.56,27422.71
TXN-00107,2021-10-27,2021,10,Q4,Insulin Glargine,Diabetes,Central,Hospital,Deepak Gupta,Anita Pandey,128.0,1000.88,128112.64,123564.45
TXN-00108,2023-03-10,2023,3,Q1,Amoxicillin,Anti-infective,East,Pharmacy,Debashish Roy,Subrata Chatterjee,127.0,180.87,22970.49,24601.3
TXN-00109,2024-02-09,2024,2,Q1,Ciprofloxacin,Anti-infective,East,Hospital,Sunita Ghosh,Subrata Chatterjee,181.0,261.78,47382.18,49727.5
TXN-00110,2022-08-04,2022,8,Q3,Amlodipine,Cardiovascular,North,Pharmacy,Rahul Verma,Amit Srivastava,155.0,137.33,21286.15,23581.16
TXN-00111,2020-06-10,2020,6,Q2,Metformin,Diabetes,West,Pharmacy,Kavita Desai,Rajesh Mehta,68.0,234.66,15956.88,18855.1
TXN-00112,2020-11-23,2020,11,Q4,Sertraline,CNS,North,Pharmacy,Anjali Singh,Amit Srivastava,160.0,467.02,74723.2,81231.34
TXN-00113,2020-04-05,2020,4,Q2,Ciprofloxacin,Anti-infective,East,Hospital,Pooja Bose,Subrata Chatterjee,39.0,332.38,12962.82,13745.68
TXN-00114,2022-02-13,2022,2,Q1,Metformin,Diabetes,Central,Hospital,Rohit Mishra,Anita Pandey,139.0,296.44,41205.16,44677.23
TXN-00115,2022-03-25,2022,3,Q1,Aspirin,Cardiovascular,West,Hospital,Vikram Shah,Rajesh Mehta,167.0,81.21,13562.07,14033.77
TXN-00116,2024-10-23,2024,10,Q4,Omeprazole,Gastrointestinal,South,Hospital,Suresh Nair,Lakshmi Iyer,89.0,158.72,14126.08,12647.04
TXN-00117,2021-12-14,2021,12,Q4,Ciprofloxacin,Anti-infective,East,Pharmacy,Sunita Ghosh,Subrata Chatterjee,139.0,306.09,42546.51,46095.15
TXN-00118,2023-07-28,2023,7,Q3,Amoxicillin,Anti-infective,North,Pharmacy,Priya Sharma,Amit Srivastava,70.0,137.2,9604.0,10730.51
TXN-00119,2021-09-01,2021,9,Q3,Amoxicillin,Anti-infective,Central,Pharmacy,Rohit Mishra,Anita Pandey,123.0,128.73,15833.79,16373.43
TXN-00120,2022-09-24,2022,9,Q3,Ibuprofen,Pain & Inflammation,West,Hospital,Vikram Shah,Rajesh Mehta,119.0,78.46,9336.74,9437.31
TXN-00121,2021-12-31,2021,12,Q4,Ciprofloxacin,Anti-infective,South,Pharmacy,Divya Menon,Lakshmi Iyer,159.0,248.74,39549.66,47453.57
TXN-00122,2024-04-30,2024,4,Q2,Insulin Glargine,Diabetes,West,Pharmacy,Sneha Patil,Rajesh Mehta,125.0,1041.26,130157.5,131097.06
TXN-00123,2020-05-28,2020,5,Q2,Ciprofloxacin,Anti-infective,East,Pharmacy,Pooja Bose,Subrata Chatterjee,77.0,247.43,19052.11,23501.77
TXN-00124,2021-02-09,2021,2,Q1,Aspirin,Cardiovascular,North,Hospital,Priya Sharma,Amit Srivastava,211.0,79.75,16827.25,16400.5
TXN-00125,2022-08-15,2022,8,Q3,Insulin Glargine,Diabetes,North,Pharmacy,Priya Sharma,Amit Srivastava,92.0,1081.97,99541.24,106161.93
TXN-00126,2020-01-25,2020,1,Q1,Amoxicillin,Anti-infective,East,Hospital,Debashish Roy,Subrata Chatterjee,66.0,245.8,16222.8,15685.54
TXN-00127,2021-06-07,2021,6,Q2,Atorvastatin,Cardiovascular,Central,Pharmacy,Nisha Yadav,Anita Pandey,51.0,293.73,14980.23,17939.49
TXN-00128,2021-10-22,2021,10,Q4,Metformin,Diabetes,Central,Pharmacy,Asha Tiwari,Anita Pandey,177.0,335.5,59383.5,63815.87
TXN-00129,2024-05-13,2024,5,Q2,Ibuprofen,Pain & Inflammation,North,Pharmacy,Ravi Kumar,Amit Srivastava,268.0,98.91,26507.88,25074.54
TXN-00130,2021-01-25,2021,1,Q1,Aspirin,Cardiovascular,North,Pharmacy,Anjali Singh,Amit Srivastava,148.0,97.21,14387.08,15044.11
TXN-00131,2022-09-16,2022,9,Q3,Amlodipine,Cardiovascular,East,Pharmacy,Sunita Ghosh,Subrata Chatterjee,158.0,156.07,24659.06,25813.56
TXN-00132,2020-05-10,2020,5,Q2,Aspirin,Cardiovascular,East,Pharmacy,Pooja Bose,Subrata Chatterjee,84.0,78.62,6604.08,7964.07
TXN-00133,2024-03-19,2024,3,Q1,Sertraline,CNS,North,Pharmacy,Ravi Kumar,Amit Srivastava,250.0,307.32,76830.0,77310.57
TXN-00134,2021-02-17,2021,2,Q1,Amoxicillin,Anti-infective,Central,Hospital,Deepak Gupta,Anita Pandey,251.0,129.1,32404.1,28367.9
TXN-00135,2020-01-29,2020,1,Q1,Metformin,Diabetes,Central,Pharmacy,Asha Tiwari,Anita Pandey,130.0,315.24,40981.2,42464.1
TXN-00136,2023-10-14,2023,10,Q4,Amlodipine,Cardiovascular,Central,Hospital,Deepak Gupta,Anita Pandey,182.0,135.46,24653.72,22623.74
TXN-00137,2020-11-19,2020,11,Q4,Insulin Glargine,Diabetes,Central,Hospital,Deepak Gupta,Anita Pandey,110.0,1182.57,130082.7,129470.58
TXN-00138,2022-07-27,2022,7,Q3,Sertraline,CNS,East,Pharmacy,Sunita Ghosh,Subrata Chatterjee,77.0,597.35,45995.95,46222.29
TXN-00139,2024-08-10,2024,8,Q3,Sertraline,CNS,Central,Pharmacy,Rohit Mishra,Anita Pandey,92.0,355.93,32745.56,35920.9
TXN-00140,2024-12-02,2024,12,Q4,Aspirin,Cardiovascular,Central,Pharmacy,Asha Tiwari,Anita Pandey,153.0,96.39,14747.67,16711.24
TXN-00141,2024-05-15,2024,5,Q2,Ibuprofen,Pain & Inflammation,East,Pharmacy,Sunita Ghosh,Subrata Chatterjee,226.0,62.44,14111.44,15753.26
TXN-00142,2023-10-12,2023,10,Q4,Insulin Glargine,Diabetes,East,Hospital,Arnab Das,Subrata Chatterjee,143.0,990.67,141665.81,124771.49
TXN-00143,2022-01-07,2022,1,Q1,Ibuprofen,Pain & Inflammation,North,Pharmacy,Anjali Singh,Amit Srivastava,122.0,86.09,10502.98,10604.21
TXN-00144,2023-04-14,2023,4,Q2,Ibuprofen,Pain & Inflammation,South,Pharmacy,Meena Pillai,Lakshmi Iyer,83.0,122.61,10176.63,11525.72
TXN-00145,2023-02-11,2023,2,Q1,Ciprofloxacin,Anti-infective,Central,Pharmacy,Nisha Yadav,Anita Pandey,105.0,272.44,28606.2,34815.65
TXN-00146,2023-08-05,2023,8,Q3,Sertraline,CNS,East,Pharmacy,Pooja Bose,Subrata Chatterjee,123.0,560.19,68903.37,81880.55
TXN-00147,2020-12-28,2020,12,Q4,Omeprazole,Gastrointestinal,Central,Hospital,Asha Tiwari,Anita Pandey,72.0,176.52,12709.44,13271.18
TXN-00148,2022-11-20,2022,11,Q4,Amoxicillin,Anti-infective,South,Pharmacy,Meena Pillai,Lakshmi Iyer,121.0,238.13,28813.73,27839.49
TXN-00149,2023-07-05,2023,7,Q3,Amoxicillin,Anti-infective,South,Hospital,Divya Menon,Lakshmi Iyer,60.0,168.97,10138.2,10743.14
TXN-00150,2020-12-30,2020,12,Q4,Atorvastatin,Cardiovascular,East,Hospital,Sunita Ghosh,Subrata Chatterjee,54.0,276.02,14905.08,15380.27
TXN-00151,2020-11-30,2020,11,Q4,Aspirin,Cardiovascular,Central,Pharmacy,Asha Tiwari,Anita Pandey,87.0,85.41,7430.67,7262.1
TXN-00152,2022-06-04,2022,6,Q2,Metformin,Diabetes,South,Hospital,Divya Menon,Lakshmi Iyer,77.0,346.02,26643.54,32938.7
TXN-00153,2024-08-26,2024,8,Q3,Atorvastatin,Cardiovascular,West,Hospital,Nikhil Joshi,Rajesh Mehta,257.0,150.15,38588.55,34658.64
TXN-00154,2022-01-07,2022,1,Q1,Amlodipine,Cardiovascular,North,Pharmacy,Anjali Singh,Amit Srivastava,131.0,179.48,23511.88,25452.52
TXN-00155,2022-06-02,2022,6,Q2,Insulin Glargine,Diabetes,West,Hospital,Sneha Patil,Rajesh Mehta,54.0,1089.77,58847.58,64220.4
TXN-00156,2023-04-01,2023,4,Q2,Metformin,Diabetes,North,Hospital,Rahul Verma,Amit Srivastava,97.0,270.98,26285.06,32492.21
TXN-00157,2021-03-05,2021,3,Q1,Omeprazole,Gastrointestinal,North,Pharmacy,Ravi Kumar,Amit Srivastava,247.0,146.36,36150.92,32317.09
TXN-00158,2021-11-23,2021,11,Q4,Ciprofloxacin,Anti-infective,West,Pharmacy,Sneha Patil,Rajesh Mehta,177.0,261.86,46349.22,45686.79
TXN-00159,2023-07-20,2023,7,Q3,Amlodipine,Cardiovascular,West,Hospital,Nikhil Joshi,Rajesh Mehta,133.0,126.9,16877.7,16797.18
TXN-00160,2021-01-29,2021,1,Q1,Metformin,Diabetes,Central,Pharmacy,Asha Tiwari,Anita Pandey,94.0,346.2,32542.8,35383.04
TXN-00161,2020-01-11,2020,1,Q1,Omeprazole,Gastrointestinal,North,Pharmacy,Rahul Verma,Amit Srivastava,73.0,111.78,8159.94,10114.62
TXN-00162,2024-08-22,2024,8,Q3,Sertraline,CNS,West,Hospital,Kavita Desai,Rajesh Mehta,95.0,582.37,55325.15,59271.19
TXN-00163,2020-08-12,2020,8,Q3,Metformin,Diabetes,North,Hospital,Ravi Kumar,Amit Srivastava,159.0,346.62,55112.58,49851.01
TXN-00164,2020-05-01,2020,5,Q2,Insulin Glargine,Diabetes,South,Hospital,Meena Pillai,Lakshmi Iyer,93.0,1054.57,98075.01,106380.78
TXN-00165,2020-01-09,2020,1,Q1,Sertraline,CNS,North,Pharmacy,Anjali Singh,Amit Srivastava,135.0,487.59,65824.65,72250.12
TXN-00166,2020-04-20,2020,4,Q2,Amoxicillin,Anti-infective,East,Pharmacy,Pooja Bose,Subrata Chatterjee,60.0,221.9,13314.0,15264.32
TXN-00167,2023-02-24,2023,2,Q1,Omeprazole,Gastrointestinal,West,Pharmacy,Sneha Patil,Rajesh Mehta,175.0,133.14,23299.5,24917.53
TXN-00168,2023-03-16,2023,3,Q1,Amoxicillin,Anti-infective,West,Hospital,Nikhil Joshi,Rajesh Mehta,371.0,205.63,76288.73,72453.37
TXN-00169,2024-06-05,2024,6,Q2,Sertraline,CNS,South,Hospital,Karthik Raj,Lakshmi Iyer,85.0,321.66,27341.1,26552.3
